slug,English product,source photograph URL,physically included product photo,local path,fallback illustration
birch-firewood,Birch Firewood,https://woodbrezany.com/wp-content/uploads/2026/02/Birch-Firewood-for-Sale-UK.webp,No — URL referenced by supplied archive,,assets/img/products/birch-firewood.svg
natural-wood-shavings,Natural Wood Shavings,https://woodbrezany.com/wp-content/uploads/2013/08/Drevene-hobliny-na-prodej.webp,No — URL referenced by supplied archive,,assets/img/products/natural-wood-shavings.svg
premium-oak-firewood,Premium Oak Firewood,https://woodbrezany.com/wp-content/uploads/2026/02/Oak-firewood-for-sale-UK.webp,No — URL referenced by supplied archive,,assets/img/products/premium-oak-firewood.svg
acacia-firewood,Acacia Firewood,https://woodbrezany.com/wp-content/uploads/2026/02/Buy-Acacia-Firewood-Europe.webp,No — URL referenced by supplied archive,,assets/img/products/acacia-firewood.svg
biomass-wood-pellets,Biomass Wood Pellets,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-biomasove-drevene-pelety.webp,Yes,assets/img/reference-media/biomass-wood-pellets.webp,assets/img/products/biomass-wood-pellets.svg
pine-firewood,Pine Firewood,https://woodbrezany.com/wp-content/uploads/2025/11/Kiefern-Brennholz-online-kaufen-300x300.webp,Yes,assets/img/reference-media/pine-firewood.webp,assets/img/products/pine-firewood.svg
pine-wood-shavings,Pine Wood Shavings,https://woodbrezany.com/wp-content/uploads/2026/01/Cumparati-aschii-de-pin.webp,No — URL referenced by supplied archive,,assets/img/products/pine-wood-shavings.svg
pine-sawdust,Pine Sawdust,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-borovicove-piliny-.webp,No — URL referenced by supplied archive,,assets/img/products/pine-sawdust.svg
pine-wood-chips,Pine Wood Chips,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-borovicove-stepky-online.webp,No — URL referenced by supplied archive,,assets/img/products/pine-wood-chips.svg
heating-coal-briquettes,Heating Coal Briquettes,https://woodbrezany.com/wp-content/uploads/2014/07/Koupit-briketove-uhli-.webp,No — URL referenced by supplied archive,,assets/img/products/heating-coal-briquettes.svg
pini-kay-wood-briquettes,Pini Kay Wood Briquettes,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-brikety-Pini-Kay.webp,No — URL referenced by supplied archive,,assets/img/products/pini-kay-wood-briquettes.svg
ruf-bark-briquettes,RUF Bark Briquettes,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-brikety-RUF-Bark.webp,No — URL referenced by supplied archive,,assets/img/products/ruf-bark-briquettes.svg
beech-firewood,Beech Firewood,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-bukove-palivove-drevo.webp,No — URL referenced by supplied archive,,assets/img/products/beech-firewood.svg
cedar-wood-shavings,Cedar Wood Shavings,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-cedrove-hobliny.webp,No — URL referenced by supplied archive,,assets/img/products/cedar-wood-shavings.svg
nestro-wood-briquettes,NESTRO Wood Briquettes,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-drevene-brikety-Nestro.webp,No — URL referenced by supplied archive,,assets/img/products/nestro-wood-briquettes.svg
ruf-wood-briquettes,RUF Wood Briquettes,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-drevene-brikety-RUF.webp,Yes,assets/img/reference-media/ruf-wood-briquettes.webp,assets/img/products/ruf-wood-briquettes.svg
din-wood-pellets,DIN Wood Pellets,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-drevene-pelety-DIN.webp,No — URL referenced by supplied archive,,assets/img/products/din-wood-pellets.svg
enplus-a1-wood-pellets,ENplus A1 Wood Pellets,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-drevene-pelety-EN-Plus-A1.webp,Yes,assets/img/reference-media/enplus-a1-wood-pellets.webp,assets/img/products/enplus-a1-wood-pellets.svg
hornbeam-firewood,Hornbeam Firewood,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-drevo-z-habru.webp,No — URL referenced by supplied archive,,assets/img/products/hornbeam-firewood.svg
oak-wood-chips,Oak Wood Chips,https://woodbrezany.com/wp-content/uploads/2025/11/Buy-Oak-Wood-Chips-Online.webp,No — URL referenced by supplied archive,,assets/img/products/oak-wood-chips.svg
oak-sawdust,Oak Sawdust,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-dubove-piliny-online-300x300.webp,No — URL referenced by supplied archive,,assets/img/products/oak-sawdust.svg
ash-firewood,Ash Firewood,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-jasanove-palivove-drevo.webp,Yes,assets/img/reference-media/ash-firewood.webp,assets/img/products/ash-firewood.svg
